post_id,post_title,post_class,post_subject,post_authors,post_publisher,post_year,post_lang,post_booklink,post_cover,post_pdf,post_pdf_pages,post_epub,post_frame,post_content,post_isinteractive
19,Smiles 1 for Kazakhstan,1,English,"Вирджиниия Эванс, Дженни Дулей",Express Publishing,2016,Русский и казахский,https://expresspublishing.kz/smiles-1/,19.jpg,19.pdf,110,,,,0
49,Smiles 2 for Kazakhstan Pupil's Book,2,English,"Вирджиниия Эванс, Дженни Дулей",Express Publishing,2017,Русский и казахский,https://expresspublishing.kz/smiles-2/,49.jpg,49.pdf,95,,,,0
50,Қазақ тілі.  Оқулық. + CD (1 бөлім),3,Қазақ тілі,"Ә.Е. ЖҰМАБАЕВА, Г.И. УАЙСОВА, Г.Т. СӘДУАҚАС",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/f5uDRO2cTFiR0q1,50.jpg,50.pdf,128,,,,0
51,Қазақ тілі.  Оқулық. + CD (2 бөлім),3,Қазақ тілі,"Ә.Е. ЖҰМАБАЕВА, Г.И. УАЙСОВА, Г.Т. СӘДУАҚАС",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/NInnwBn6hIefkqR,51.jpg,51.pdf,128,,,,0
52,Әдебиеттік оқу. Оқулық. 1 -бөлім + CD  ,3,Литература,"Б.Т. Қабатай, Ү.К. Зейнетоллина, В.А. Қалиева",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/aE8rKVz8XmPBguS,52.jpg,52.pdf,128,,,,0
53,Әдебиеттік оқу. Оқулық. 2 -бөлім + CD  ,3,Литература,"Б.Т. Қабатай, Ү.К. Зейнетоллина, В.А. Қалиева",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/OZuF7JbuUqERnpS ,53.jpg,53.pdf,144,,,,0
59,Дүниетану. Оқулық,3,Познание мира,"Б.Қ. Тұрмашева, С.С. Салиш, В.Г. Пугач",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/k7pr7GZIL9uZ01f,59.jpg,59.pdf,96,,,,0
61,Көркем еңбек.Оқулық,3,Художественный труд,"Í.À. Ðàóïîâà, Ә.Т. Төлебиеâ, Е.В. Дàшкеâич",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/W8ZGxv8wKU1DAoE,61.jpg,61.pdf,96,,,,0
69,Естествознание.  Учебник,3,Естествознание,"C. З. Кучербаева, И. С. Темникова, Г. К. Ташенова",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/CDniYryPOcqS9VD,69.jpg,69.pdf,168,,,,0
70,Познание мира.  Учебник,3,Познание мира,"Б. К. Турмашева, С. С. Салиш, В. Г. Пугач",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/JQUxk0kItVmZxEc,70.jpg,70.pdf,96,,,,0
